date;        time;      Temp;  G (målt);
28.09.2025;  20:00:00;  20;    1.065;
29.09.2025;  14:39:51;  17.8;  1.064;
30.09.2025;  08:34:14;  18.3;  1.057;
30.09.2025;  12:22:20;  18.9;  1.056;
01.10.2025;  07:46:00;  18.9;  1.051;
03.10.2025;  23:10:05;  18.3;  1.040;
05.10.2025;  16:19:21;  18.3;  1.033;
06.10.2025;  21:36:25;  18.3;  1.032;
07.10.2025;  09:31:53;  18.3;  1.031;
08.10.2025;  07:19:06;  17.8;  1.028;
08.10.2025;  17:00:13;  17.8;  1.029;
09.10.2025;  08:43:36;  17.8;  1.027;
09.10.2025;  13:29:00;  17.8;  1.026;
09.10.2025;  17:51:06;  17.8;  1.025;
09.10.2025;  22:29:20;  17.8;  1.024;
10.10.2025;  16:55:48;  17.8;  1.023;
11.10.2025;  09:33:50;  17.8;  1.021;